Subject,Body,Attachment,Location,Author,Created At,Updated At
"Seattle Great Wheel, Alaskan Way, Seattle, WA","Kevin + It was a vibrant place with a nice view. Kevin was able to explore things such as the Great Wheel and the little arcade inside the building next to the wheel which he got to play with and enjoyed + RT
",https://padlet-uploads.storage.googleapis.com/1975121832/f9d935cefda50fd536cef2d8c5459f4c/balloon2.png,"Seattle Great Wheel, Alaskan Way, Seattle, WA (47.6061342, -122.3425246)",Anonymous,2023-02-27 01:31:07 UTC,2023-02-27 01:31:07 UTC
"Pike Place Market, Seattle, WA","Kevin + This is the first place Kevin's been to in Seattle and now it holds a special meaning in his heart being here. At night, it's empty and very vibrant which makes it nice to walk around and enjoy the scenery + RT
",https://padlet-uploads.storage.googleapis.com/1975121832/7fc20c9d433acca14fd5264014b8a0b8/balloon1.png,"Pike Place Market, Seattle, WA (47.6096559, -122.3421522)",Anonymous,2023-02-27 01:29:25 UTC,2023-02-27 01:29:25 UTC
"Red Robin Gourmet Burgers and Brews, 148th Avenue Northeast, Redmond, WA","Kevin + Kevin loves going to red robin on Friday nights when he is not getting yolked at the gym. Kevin likes to get a good amount of protein in his system + AB
",https://padlet-uploads.storage.googleapis.com/1973075627/124bf9180b3730ab7f1c354861b4249e/Screen_Shot_2023_02_25_at_7_47_52_PM.png,"Red Robin Gourmet Burgers and Brews, 148th Avenue Northeast, Redmond, WA (47.6310774, -122.1424505)",Anonymous,2023-02-26 03:51:34 UTC,2023-02-26 03:51:34 UTC
Seacrest Park,"Fredrick + This is Fredrick's favorite view site to visit in Seattle and the view here is stunning. It is also quiet too, and Fredrick loves quiet place. It is pretty far from the campus, and a vehicle is suggested if you want to visit. + AY
",https://padlet-uploads.storage.googleapis.com/1974599657/1ab3d628c74457f999f1e3612d7ff5a9/2.jpg,"(47.58958209821573, -122.38079394085719) (47.58958209821573, -122.38079394085719)",Anonymous,2023-02-26 03:51:26 UTC,2023-02-26 03:53:50 UTC
Prexy,"Fredrick + Fredrick likes to be at quiet places, therefore rooftop is one of his happy place. At rooftop, Fredrick enjoys the city views during both day and night, especially at night time. Fredrick loves any rooftops. + AY
",https://padlet-uploads.storage.googleapis.com/1974599657/17cb2fa240455b4cb57c9eadeecaa88a/4.jpg,"(47.66434885102697, -122.31770109505739) (47.66434885102697, -122.31770109505739)",Anonymous,2023-02-26 03:44:37 UTC,2023-02-26 03:54:53 UTC
"Stevens Court Community Center, Seattle, WA 98105, USA","Kevin + Kevin is interested in conservation, and he's happy to share his home with wildlife. At Steven's Court, one can spot rabbits, rats, hawks, and coyotes. Kevin came across a coyote hunting for rats while doing his laundry one night! He looks forward to his next wildlife sighting. + JP
",https://padlet-uploads.storage.googleapis.com/980178989/06f249448efba1934f4f53e8f359b66b/stevens1.png,"Stevens Court Community Center, Seattle, WA 98105, USA (47.65390011368635, -122.31550939875605)",Anonymous,2023-02-26 03:42:34 UTC,2023-02-26 03:42:34 UTC
"University of Washington Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA","Kevin + Kevin likes going to the UW IMA gym and sports fields 4-5 times a week, to reduce his stress and stay healthy + AB
",https://padlet-uploads.storage.googleapis.com/1973075627/2261d6543f7fadeccbf9b4035816118b/Screen_Shot_2023_02_25_at_7_35_53_PM.png,"University of Washington Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA (47.6535921, -122.3015799)",Anonymous,2023-02-26 03:38:36 UTC,2023-02-26 03:38:36 UTC
"1117 NE Boat St, Seattle, WA 98105, USA","Porter + Porter is always looking for scenic places to read a book. Fritz Hedges Waterway Park provides benches, scenery, and a cool breeze to keep Porter comfortable while reading. He often visits this relaxing spot located close to home. + JP
",https://padlet-uploads.storage.googleapis.com/980178989/d71582c6928d1f96f692f9b0c3347c79/portage.png,"1117 NE Boat St, Seattle, WA 98105, USA (47.65161677410774, -122.31517617054965)",Anonymous,2023-02-26 03:05:43 UTC,2023-02-26 03:05:43 UTC
McMahon Hall: The 8,"Stanley + Stanley loves a quiet space to study efficiently. So few people choose to study in the 8 that it is always a peaceful and productive place to go for him. The quiet, warm environment, and the views of lake Washington make this spot one of Stanley most happy places on campus. He also greatly enjoys that they have 3d printers and other equipment that make The 8 a maker space +CG
",https://padlet-uploads.storage.googleapis.com/1974576828/da506ef4a2fffed43c77b2811ec4499a/IMG_7277.jpg,"(47.65816836384581, -122.3033886102732) (47.65816836384581, -122.3033886102732)",Anonymous,2023-02-26 02:12:23 UTC,2023-02-26 02:12:23 UTC
Grieg Garden," Stanley + While he is regularly rushing around campus, when allowed the opportunity, Stanley loves to catch his breath and take a moment to take in nature by hanging out in Grieg Garden. Whether it's hanging out with friends or just watching the squirrels and birds, Stanley is grateful for any chance he gets to take some time here.   +CG
",https://padlet-uploads.storage.googleapis.com/1974576828/6ab89de483d4fb36ba1a5dd875d6c12a/IMG_7251.jpg,"(47.65631497471945, -122.30626152503983) (47.65631497471945, -122.30626152503983)",Anonymous,2023-02-26 01:52:04 UTC,2023-02-26 01:52:04 UTC
